Block Size, Stencil Kernel Avg Time (ms), FLOP Count
2, 20.743, 12582912
4, 10.389, 12582912
8, 5.1991, 12582912
16, 2.6136, 12582912
32, 1.3150, 12582912
64, 0.694, 12582912
128, 0.402, 12582912
256, 0.407, 12582912
512, 0.428, 12582912
1024, 0.485, 12582912
