16, 1, 1.658e-05, 1.622e-05
16, 2, 2.716e-05, 2.496e-05
16, 4, 3.756e-05, 2.584e-05
16, 8, 5.53e-05, 3.746e-05
16, 16, 7.752e-05, 6.484e-05
16, 32, 0.00014034, 0.0001229
32, 1, 0.00012688, 0.00012728
32, 2, 8.772e-05, 8.19e-05
32, 4, 7.178e-05, 4.926e-05
32, 8, 0.00010244, 6.05e-05
32, 16, 0.00013582, 8.202e-05
32, 32, 0.00018478, 0.0001325
64, 1, 0.00103014, 0.00110802
64, 2, 0.00052868, 0.00049522
64, 4, 0.0004223, 0.0003217
64, 8, 0.00024042, 0.00017104
64, 16, 0.00026836, 0.00021296
64, 32, 0.00027744, 0.0002218
128, 1, 0.00823386, 0.00802204
128, 2, 0.00410038, 0.00417946
128, 4, 0.00220472, 0.00237122
128, 8, 0.00188158, 0.00190696
128, 16, 0.0017073, 0.00170472
128, 32, 0.0017921, 0.00159034
256, 1, 0.0597964, 0.0606791
256, 2, 0.0318475, 0.0314867
256, 4, 0.0167064, 0.016162
256, 8, 0.00909194, 0.0096226
256, 16, 0.00898484, 0.00979918
256, 32, 0.0102482, 0.0090043
512, 1, 0.596539, 0.557045
512, 2, 0.289309, 0.289117
512, 4, 0.154643, 0.150968
512, 8, 0.0871079, 0.0833086
512, 16, 0.0812151, 0.0804999
512, 32, 0.0880925, 0.0859742
1024, 1, 4.35623, 5.32414
1024, 2, 2.52313, 2.53098
1024, 4, 1.28272, 1.26605
1024, 8, 0.799825, 0.669673
1024, 16, 0.627426, 0.629286
1024, 32, 0.612652, 0.603727
